
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2026-05-29T07:18:00.911+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Starting SearchServiceApplicationKt using Java 17.0.2 with PID 9616 (C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service\build\libs\bible-search-service.jar started by PC in C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service)
2026-05-29T07:18:00.924+08:00 DEBUG 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Running with Spring Boot v3.2.2, Spring v6.1.3
2026-05-29T07:18:59.012+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Proverbs: 891 verses (total 17167)
2026-05-29T07:18:59.058+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Ecclesiastes: 222 verses (total 17389)
2026-05-29T07:18:59.082+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Song of Solomon: 117 verses (total 17506)
2026-05-29T07:18:59.324+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Isaiah: 1289 verses (total 18795)
2026-05-29T07:18:59.581+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Jeremiah: 1298 verses (total 20093)
2026-05-29T07:18:59.602+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Lamentations: 150 verses (total 20243)
2026-05-29T07:18:59.805+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Ezekiel: 1267 verses (total 21510)
2026-05-29T07:18:59.883+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Daniel: 424 verses (total 21934)
2026-05-29T07:18:59.924+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Hosea: 197 verses (total 22131)
2026-05-29T07:18:59.937+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Joel: 73 verses (total 22204)
